DriverNumber,Abbreviation,FullName,Position,Time,Status,RaceName,Round
44,HAM,Lewis Hamilton,1.0,0 days 01:32:03.897000,Finished,Bahrain Grand Prix,1
33,VER,Max Verstappen,2.0,0 days 00:00:00.745000,Finished,Bahrain Grand Prix,1
77,BOT,Valtteri Bottas,3.0,0 days 00:00:37.383000,Finished,Bahrain Grand Prix,1
4,NOR,Lando Norris,4.0,0 days 00:00:46.466000,Finished,Bahrain Grand Prix,1
11,PER,Sergio Perez,5.0,0 days 00:00:52.047000,Finished,Bahrain Grand Prix,1
16,LEC,Charles Leclerc,6.0,0 days 00:00:59.090000,Finished,Bahrain Grand Prix,1
3,RIC,Daniel Ricciardo,7.0,0 days 00:01:06.004000,Finished,Bahrain Grand Prix,1
55,SAI,Carlos Sainz,8.0,0 days 00:01:07.100000,Finished,Bahrain Grand Prix,1
22,TSU,Yuki Tsunoda,9.0,0 days 00:01:25.692000,Finished,Bahrain Grand Prix,1
18,STR,Lance Stroll,10.0,0 days 00:01:26.713000,Finished,Bahrain Grand Prix,1
7,RAI,Kimi Räikkönen,11.0,0 days 00:01:28.864000,Finished,Bahrain Grand Prix,1
99,GIO,Antonio Giovinazzi,12.0,,+1 Lap,Bahrain Grand Prix,1
31,OCO,Esteban Ocon,13.0,,+1 Lap,Bahrain Grand Prix,1
63,RUS,George Russell,14.0,,+1 Lap,Bahrain Grand Prix,1
5,VET,Sebastian Vettel,15.0,,+1 Lap,Bahrain Grand Prix,1
47,MSC,Mick Schumacher,16.0,,+1 Lap,Bahrain Grand Prix,1
10,GAS,Pierre Gasly,17.0,,Retired,Bahrain Grand Prix,1
6,LAT,Nicholas Latifi,18.0,,Retired,Bahrain Grand Prix,1
14,ALO,Fernando Alonso,19.0,,Brakes,Bahrain Grand Prix,1
9,MAZ,Nikita Mazepin,20.0,,Accident,Bahrain Grand Prix,1
33,VER,Max Verstappen,1.0,0 days 02:02:34.598000,Finished,Emilia Romagna Grand Prix,2
44,HAM,Lewis Hamilton,2.0,0 days 00:00:22,Finished,Emilia Romagna Grand Prix,2
4,NOR,Lando Norris,3.0,0 days 00:00:23.702000,Finished,Emilia Romagna Grand Prix,2
16,LEC,Charles Leclerc,4.0,0 days 00:00:25.579000,Finished,Emilia Romagna Grand Prix,2
55,SAI,Carlos Sainz,5.0,0 days 00:00:27.036000,Finished,Emilia Romagna Grand Prix,2
3,RIC,Daniel Ricciardo,6.0,0 days 00:00:51.220000,Finished,Emilia Romagna Grand Prix,2
10,GAS,Pierre Gasly,7.0,0 days 00:00:52.818000,Finished,Emilia Romagna Grand Prix,2
18,STR,Lance Stroll,8.0,0 days 00:00:56.909000,Finished,Emilia Romagna Grand Prix,2
31,OCO,Esteban Ocon,9.0,0 days 00:01:05.704000,Finished,Emilia Romagna Grand Prix,2
14,ALO,Fernando Alonso,10.0,0 days 00:01:06.561000,Finished,Emilia Romagna Grand Prix,2
11,PER,Sergio Perez,11.0,0 days 00:01:07.151000,Finished,Emilia Romagna Grand Prix,2
22,TSU,Yuki Tsunoda,12.0,0 days 00:01:13.184000,Finished,Emilia Romagna Grand Prix,2
7,RAI,Kimi Räikkönen,13.0,0 days 00:01:34.773000,Finished,Emilia Romagna Grand Prix,2
99,GIO,Antonio Giovinazzi,14.0,,+1 Lap,Emilia Romagna Grand Prix,2
